WORD,PREDICTION
threads,1
reinforce,1
letters,0
pioneered,1
closer,0
fruits,0
gems,0
participants,1
Tools,0
independent,1
rushed,0
physics,1
volume,0
box-office,1
warn,0
sorts,0
allegiance,1
hitchhiker,1
boring,0
celebrate,1
stranded,1
extra,0
expecting,1
Steam,0
decide,0
flown,0
gunmen,0
murder,0
soldiers,1
purchasing,1
confined,1
lowered,1
participated,1
lady,0
fishes,0
acclaim,1
taste,0
highs,0
ordinary,1
finish,0
Jewelry,1
seeing,0
skydive,1
already,0
instill,1
judges,0
aims,0
deep,0
fragment,1
right,0
sneaks,0
basketball,1
name,0
townships,1
throw,0
film,0
transplanted,1
purveyor,1
doctors,1
coveted,1
assume,0
textbooks,1
hearts,0
computer-animated,1
Lakota,0
paintings,1
realized,1
throne,0
popular,0
decaying,1
orders,0
exemption,1
permissive,1
hire,0
burned,0
fierce,0
guns,0
father,0
Whether,1
atmosphere,1
western,1
fissures,1
paint,0
reunite,1
borders,1
inflamed,1
proceed,1
canvas,0
reputations,1
upper,0
cocktails,1
fair,0
suspects,1
methods,0
Kingdom,1
late,0
illustrated,1
fries,0
count,0
pencils,1
visitor,1
mystery,1
warmer,0
abstract,1
much,0
smoking,1
prominent,1
lucrative,1
districts,1
sleeping,1
ghetto,0
counselors,1
referendum,1
fishery,1
biotechnology,1
intended,1
incurred,1
bloodied,1
dwelling,1
richest,1
ballet,0
presence,0
cars,0
differences,1
StarCraft,1
carried,0
ranks,0
prohibition,1
extremist,1
alien,0
craftsmanship,1
wears,0
deployments,1
building,0
counted,1
ambassador,1
reference,1
announcing,1
impossible,1
nurses,0
project,0
teach,0
hate,0
metropolitan,1
degrees,1
bionic,0
invaded,1
observe,1
draws,0
eggs,0
inflated,1
racist,0
dramatic,1
Schools,1
listed,0
recreated,1
field,0
certainty,1
robotics,1
passages,1
sinister,1
stew,0
access,0
parachuted,1
unrest,0
shepherds,1
golden,0
build,0
generation,1
emergency-response,1
Pizza,0
calling,1
key-moy-AH-too,1
formal,0
looking,0
controlling,1
song,0
edible,0
hazard,0
viral,0
couple,0
cord,0
busy,0
heaviest,1
court,0
concern,0
animals,0
investigation,1
sternly,1
bright,0
rebuild,1
uptick,0
rhinoceros,1
dinosaurs,1
gateway,1
industrialist,1
construction,1
Growing,1
MOOCs,0
Glacier,1
invest,0
reroute,1
imminent,1
avoids,0
pusher,0
cataclysmic,1
asking,0
gets,0
balls,0
emotional,1
Sometimes,1
accidents,1
accused,1
plateau,1
vulnerability,1
juices,0
patronage,1
floating,1
staffers,1
announce,1
climbed,1
plantations,1
number,0
troops,0
chants,0
Tourism,1
apps,0
changed,0
disruptions,1
Point,0
root,0
disdain,1
holding,1
problem,0
founding,1
supporters,1
logs,0
soul,0
like,0
tougher,1
actions,0
meeting,0
lost,0
full-fledged,1
well-prepared,1
colleagues,1
Scholar,1
orphan,0
sophisticated,1
similar,0
jokes,0
walked,0
symmetrical,1
long-reaching,1
heady,0
third-degree,1
Women,0
capacity,1
overcast,1
imposing,1
silver,0
abaya,0
climbing,1
training,1
let,0
rich,0
otoliths,1
byproduct,1
limits,0
teenager,1
perspective,1
shrewd,0
Forces,0
crimes,0
glad,0
intractable,1
hormone,1
graduate,1
hundreds,1
outside,0
experts,1
brand,0
booms,0
warm,0
spasmed,1
ordering,1
gain,0
seas,0
butchering,1
Remember,1
visited,1
rocket-powered,1
campuses,1
teaching,1
sandwiched,1
interactive,1
allies,0
Knowing,1
engineers,1
Life,0
goals,0
thick,0
pedestrian,1
washing,1
Miracle,1
toxin,0
out-of-control,1
call,0
details,0
fowleri,1
album,0
moored,0
stairwell,1
beating,1
crash,0
tourniquet,1
resources,1
insisted,1
sample,0
Nearly,0
denouncing,1
spate,0
iPad,0
turn,0
voter,0
crab,0
described,0
enemies,1
jointly,1
branch,0
weight,0
explore,1
roaring,1
population,1
bought,0
drag,0
biology,1
geology,1
pre-eminence,1
better-tasting,1
perilous,1
murky,0
primordial,1
Earth,0
watching,1
light,0
removing,1
approach,0
mother,0
cerebellum,1
tried,0
Rows,0
electrifying,1
BrainHealth,1
gripped,1
sift,0
chips,0
threat,0
affect,0
Climate,1
Plenty,0
path,0
commitment,1
factor,0
afford,0
olives,0
addressing,1
padded,0
comets,0
young,0
press,0
ability,0
patrol,0
MVP,0
included,1
causes,0
birthday,1
teenie,0
needs,0
wooden,0
rooted,0
uninhabitable,1
accompanied,1
flawless,1
send,0
analyzed,1
sounds,0
scheme,0
intensified,1
Students,1
Home,0
perform,1
Force,0
anticipated,1
displaced,1
Metroplex,1
criminal,1
proportions,1
25-foot-long,1
different,0
compels,1
atoms,0
effect,0
farms,0
skeptical,1
industry,0
nickname,1
jackhammers,1
Special,1
washed,0
diet,0
exploded,1
in-flight,1
wonk,0
replace,1
country,0
gas-shrouded,1
onslaught,1
proficiency,1
exposure,1
periodic,1
dog,0
outlet,0
never,0
space,0
early,0
marketing,1
weenie,0
students,0
reaction,1
huddle,0
thinkers,1
crumbling,1
extinguished,1
night-time,1
pay,0
broken,0
practice,0
hub,0
bone,0
predatory,1
secession,1
confounded,1
betrothed,1
image,0
Fahrenheit,1
reminded,1
tourism-dependent,1
eligible,1
Researchers,1
fight,0
post,0
fiercest,1
ushered,1
concussions,1
cataloging,1
257th,0
discussion,1
barricade,1
way,0
fail,0
silently,1
rule,0
gays,0
programs,1
larger,0
kid,0
force,0
Lost,0
lagged,0
seasick,1
whites-only,1
evacuated,1
really,0
missing,1
zones,0
exodus,0
owners,0
examined,1
naturally,1
music,0
attitudes,1
shortly,1
sliver,0
extent,0
haul,0
Corre,0
trends,0
damage,0
long-awaited,1
summit,0
chimed,0
tough,0
dreamed,1
nourishing,1
plans,0
conclusions,1
encouraged,1
franchise,1
effective,1
